ap-northeast-1,Tokyo,JP
ap-south-1,Mumbai,IN
ap-southeast-1,Singapore,SG
ap-southeast-2,Sydney,AU
ap-southeast-3,Kuala Lumpur,MY
ap-southeast-5,Jakarta,ID
cn-beijing,Beijing,CN
cn-chengdu,Chengdu,CN
cn-hangzhou,Hangzhou,CN
cn-heyuan,Heyuan,CN
cn-hongkong,Hong Kong,CN
cn-huhehaote,Hohhot,CN
cn-north-2-gov-1,China,CN
cn-qingdao,Qingdao,CN
cn-shanghai,Shanghai,CN
cn-shanghai-finance-1,Shanghai,CN
cn-shenzhen,Shenzhen,CN
cn-shenzhen-finance-1,Shenzhen,CN
cn-wulanchabu,Ulanqab,CN
cn-zhangjiakou,Zhangjiakou,CN
eu-central-1,Frankfurt,DE
eu-west-1,London,UK
me-east-1,Dubai,AE
us-east-1,Virginia,US
us-west-1,California,US