australiacentral,Canberra,AU
australiacentral2,Canberra,AU
australiaeast,New South Wales,AU
australiasoutheast,Victoria,AU
brazilne,Brazil,BR
brazilse,Rio,BR
brazilsouth,Sao Paulo,BR
brazilsoutheast,Rio,BR
canadacentral,Toronto,CA
canadaeast,Quebec City,CA
centralfrance,Paris,FR
centralindia,Pune,IN
centralus,Iowa,US
centraluseuap,United States,US
chinaeast,Shanghai,CN
chinaeast2,Shanghai,CN
chinaeast3,Shanghai,CN
chinanorth,Beijing,CN
chinanorth2,Beijing,CN
chinanorth3,Hebei,CN
eastasia,Hong Kong,CN
eastus,Virginia,US
eastus2,Virginia,US
eastus2euap,United States,US
francecentral,Paris,FR
francesouth,Marseille,FR
germanyn,Berlin,DE
germanynorth,Berlin,DE
germanywc,Frankfurt,DE
germanywestcentral,Frankfurt,DE
israelcentral,Israel,IL
italynorth,Milan,IT
japaneast,Tokyo,JP
japanwest,Osaka,JP
jioindiacentral,Nagpur,IN
jioindiawest,Jamnagar,IN
koreacentral,Seoul,KR
koreasouth,Busan,KR
malaysiasouth,Kuala Lumpur,MY
mexicocentral,Queretaro,MX
northcentralus,Illinois,US
northeurope,Ireland,IE
northeurope2,European Union,EU
norwaye,Oslo,NO
norwayeast,Oslo,NO
norwayw,Stavanger,NO
norwaywest,Stavanger,NO
polandcentral,Warsaw,PL
qatarcentral,Doha,QA
southafricanorth,Johannesburg,ZA
southafricawest,Cape Town,ZA
southcentralus,Texas,US
southeastasia,Singapore,SG
southfrance,Marseille,FR
southindia,Chennai,IN
spaincentral,Madrid,ES
swedencentral,Gavle,SE
swedensouth,Sweden,SE
switzerlandn,Zurich,CH
switzerlandnorth,Zurich,CH
switzerlandw,Geneva,CH
switzerlandwest,Geneva,CH
taiwannorth,Taipei,TW
taiwannorthwest,Taiwan,TW
uaecentral,Abu Dhabi,AE
uaenorth,Dubai,AE
uksouth,London,UK
ukwest,Cardiff,UK
usdodcentral,Iowa,US
usdodeast,Virginia,US
usdodtexas,Texas,US
usgovarizona,Arizona,US
usgoviowa,Iowa,US
usgovtexas,Texas,US
usgovvirginia,Virginia,US
usseceast,United States,US
ussecwest,United States,US
usstagec,United States,US
usstagee,United States,US
westcentralus,Wyoming,US
westeurope,Netherlands,NL
westindia,Mumbai,IN
westus,California,US
westus2,Washington,US
westus3,Arizona,US
global,global,GO