africa-south1,Johannesburg,ZA
asia-east1,Changhua,TW
asia-east2,Hong Kong,TW
asia-northeast1,Tokyo,JP
asia-northeast2,Osaka,JP
asia-northeast3,Seoul,KR
asia-south1,Mumbai,IN
asia-south2,Delhi,IN
asia-southeast1,Jurong,SG
asia-southeast2,Jakarta,ID
australia-southeast1,Sydney,AU
australia-southeast2,Melbourne,AU
europe-central2,Warsaw,PL
europe-north1,Hamina,FI
europe-southwest1,Madrid,ES
europe-west1,St. Ghislain,BE
europe-west10,Berlin,DE
europe-west12,Turin,IT
europe-west2,London,UK
europe-west3,Frankfurt,DE
europe-west4,Eemshaven,NL
europe-west5,European Union,EU
europe-west6,Zurich,CH
europe-west8,Milan,IT
europe-west9,Paris,FR
me-central1,Doha,QA
me-central2,Dammam,SA
me-west1,Tel Aviv,IL
northamerica-northeast1,Montreal,CA
northamerica-northeast2,Toronto,CA
southamerica-east1,Sao Paulo,BR
southamerica-west1,Santiago,CL
us-central1,Council Bluffs,US
us-east1,Moncks Corner,US
us-east4,Ashburn,US
us-east5,Columbus,US
us-south1,Dallas,US
us-west1,The Dalles,US
us-west2,Los Angeles,US
us-west3,Salt Lake City,US
us-west4,Las Vegas,US
us-west8,United States,US
global,global,GO